品牌,企业名称,产品型号,产品名称,动力形式,电机功率(kW),motor_count,motor_total_peak_kw,single_multi_motor,电池类型,battery_chemistry,battery_chemistry_cn,battery_ncm_explicit_flag,电池容量(kWh),电池质量(kg),纯电续航(km),整备质量(kg),cell_supplier,pack_supplier,cell_supplier_group,pack_supplier_group,vertical_integration_flag,电芯/总成供应商,增程器,长(mm),宽(mm),高(mm),总电量口径近似电耗(kWh/100km),电池包能量密度(Wh/kg),单位电量续航(km/kWh),电池质量占整备质量比(%),tax_catalog_match_flag,battery_metrics_available_flag,missing_reason,metric_scope
小米,小米汽车科技有限公司,XMA6500KREEVF3#1,插电式增程混合动力多用途乘用车,插电式增程混合动力,210kW,1,210.0,单电机,磷酸铁锂电池,LFP,磷酸铁锂,0,52.0,380.0,270.0,2453.0,南昌欣旺达新能源有限公司,南昌欣旺达新能源有限公司,欣旺达,欣旺达,same_company,南昌欣旺达新能源有限公司,M15DRE / 1499ml / 112kW / 哈尔滨东安汽车动力股份有限公司,4960,1998,1785,19.3,136.8,5.19,15.5,1,1,,全数据
小米,小米汽车科技有限公司,XMA6500KREEVF3#2,插电式增程混合动力多用途乘用车,插电式增程混合动力,210kW,1,210.0,单电机,磷酸铁锂电池,LFP,磷酸铁锂,0,52.0,380.0,265.0,2505.0,南昌欣旺达新能源有限公司,南昌欣旺达新能源有限公司,欣旺达,欣旺达,same_company,南昌欣旺达新能源有限公司,M15DRE / 1499ml / 112kW / 哈尔滨东安汽车动力股份有限公司,4960,1998,1785,19.6,136.8,5.1,15.2,1,1,,全数据
小米,小米汽车科技有限公司,XMA6500KREEVA1#1,插电式增程混合动力多用途乘用车,插电式增程混合动力,210/100kW,2,310.0,2电机,三元锂离子电池,NCM,三元锂,0,76.0,400.0,380.0,2561.0,中创新航科技集团股份有限公司,中创新航科技集团股份有限公司,中创新航,中创新航,same_company,中创新航科技集团股份有限公司,M15DRE / 1499ml / 112kW / 哈尔滨东安汽车动力股份有限公司,4960,1998,1765,20.0,190.0,5.0,15.6,1,1,,全数据
小米,小米汽车科技有限公司,XMA6500KREEVA1#2,插电式增程混合动力多用途乘用车,插电式增程混合动力,210/100kW,2,310.0,2电机,三元锂离子电池,NCM,三元锂,0,76.0,400.0,375.0,2610.0,中创新航科技集团股份有限公司,中创新航科技集团股份有限公司,中创新航,中创新航,same_company,中创新航科技集团股份有限公司,M15DRE / 1499ml / 112kW / 哈尔滨东安汽车动力股份有限公司,4960,1998,1765,20.3,190.0,4.93,15.3,1,1,,全数据
小米,小米汽车科技有限公司,XMA6530KREEVA1,插电式增程混合动力多用途乘用车,插电式增程混合动力,210/100kW,2,310.0,2电机,三元锂离子电池,NCM,三元锂,0,76.0,400,370,2800,中创新航科技集团股份有限公司,中创新航科技集团股份有限公司,中创新航,中创新航,same_company,中创新航科技集团股份有限公司,M15DRE / 1499ml / 112kW / 哈尔滨东安汽车动力股份有限公司,5285,1998,1825,20.5,190.0,4.87,14.3,1,1,,全数据
理想,北京理想汽车有限公司,LXA6524BEVW02,纯电动多用途乘用车,纯电动,150/250kW,2,400.0,2电机,三元锂离子动力电池,NCM,三元锂,0,,,,,欣旺达动力科技股份有限公司,浙江理想汽车电池有限公司,欣旺达,理想汽车电池,cross_group,欣旺达动力科技股份有限公司 / 浙江理想汽车电池有限公司,,5225,1970,1752,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
理想,北京理想汽车有限公司,LXA6524BEVW01,纯电动多用途乘用车,纯电动,150/250kW,2,400.0,2电机,三元锂离子动力电池,NCM,三元锂,0,,,,,江苏时代新能源科技有限公司,江苏时代新能源科技有限公司,宁德时代系,宁德时代系,same_company,江苏时代新能源科技有限公司 / 江苏时代新能源科技有限公司,,5225,1970,1752,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
小鹏,肇庆小鹏新能源投资有限公司,NHQ6510BEVRD,纯电动多用途乘用车,纯电动,160/270kW,2,430.0,2电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,,,,,中创新航科技集团股份有限公司,中创新航科技集团股份有限公司,中创新航,中创新航,same_company,中创新航科技集团股份有限公司 / 中创新航科技集团股份有限公司,,5120,1999,1782,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
特斯拉,特斯拉(上海)有限公司,TSL6480BEVBA6,纯电动多用途乘用车,纯电动,176/291kW,2,467.0,2电机,三元锂离子电池,NCM,三元锂,0,,,,,爱尔集新能源（南京）有限公司,特斯拉（上海）有限公司,LG新能源,其他,cross_group,爱尔集新能源（南京）有限公司 / 特斯拉（上海）有限公司,,4796,1920,1611,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
岚图,东风汽车集团有限公司,EQ6530AB5F2BEV,纯电动多用途乘用车,纯电动,175/300kW,2,475.0,2电机,三元锂离子蓄电池,NCM,三元锂,0,,,,,中州时代新能源科技有限公司,中州时代新能源科技有限公司,宁德时代系,宁德时代系,same_company,中州时代新能源科技有限公司 / 中州时代新能源科技有限公司,,5325,1998,1823,,,,,0,0,来源未覆盖（附件2车船税未收录该车型）,仅增程/插混（纯电车型附件2未覆盖）
岚图,东风汽车集团有限公司,EQ6530AB5F2PHEV#1,插电式混合动力多用途乘用车,插电式混合动力,,0,0.0,,三元锂离子蓄电池,NCM,三元锂,0,64.8,365.0,300.0,2919.0,时代一汽动力电池有限公司,宁德时代新能源科技股份有限公司,宁德时代系,宁德时代系,same_group,时代一汽动力电池有限公司 / 宁德时代新能源科技股份有限公司,DFMC15TE3 / 1497ml / 智新科技股份有限公司,5325,1998,1823,21.6,177.5,4.63,12.5,1,1,,全数据
岚图,东风汽车集团有限公司,EQ6530AB5F2PHEV#2,插电式混合动力多用途乘用车,插电式混合动力,,0,0.0,,三元锂离子蓄电池,NCM,三元锂,0,64.8,365.0,291.0,3020.0,时代一汽动力电池有限公司,宁德时代新能源科技股份有限公司,宁德时代系,宁德时代系,same_group,时代一汽动力电池有限公司 / 宁德时代新能源科技股份有限公司,DFMC15TE3 / 1497ml / 智新科技股份有限公司,5325,1998,1823,22.3,177.5,4.49,12.1,1,1,,全数据
腾势,比亚迪汽车工业有限公司,QCJ6520MT6HEV14,插电式混合动力多用途乘用车,插电式混合动力,200kW,1,200.0,单电机,磷酸铁锂蓄电池,LFP,磷酸铁锂,0,39.690,324,155,2695,绍兴弗迪电池有限公司,西安弗迪电池有限公司,弗迪系,弗迪系,same_group,绍兴弗迪电池有限公司 / 西安弗迪电池有限公司,BYD472ZQB / 1498ml / 比亚迪汽车有限公司,5250,1960,1900,25.6,122.5,3.91,12.0,1,1,,全数据
