price_bucket,body_type,nev_penetration,market_total_sales,market_size_12m,ces_score,new_product_count_obs,price_delta_pct,price_position_end,top3_price_delta_pct,new_vs_old_price_ratio,incumbent_price_delta_pct,replacement_premium_pct,top3_overlap_count,biggest_new_model_share,top_new_model_sales,top3_new_models_share,total_demand_pool,pen_speed_pp_12m,nev_substitution_space,market_volume_growth,expanded,freeze_date
35-40万,SUV,56.29664179104478,40736.0,107507.0,0.46669744424940685,10,-0.9292248047608753,0.3890981928957987,-3.8262732209386585,0.96762976428151,-6.381421679353716,2.969328421137085,1,0.34481475624843033,37070.0,0.45799808384570306,476195.0,36.49721024709669,0.7742374447442749,-25.256029839917403,False,2023-03
20-25万,轿车,74.74222658323548,62167.0,291155.0,0.3850477958229511,6,3.8752872551764073,0.546456905517432,-4.978318267496129,1.0194629685781198,-1.087517597731269,13.35263822316659,1,0.16175233123250501,47095.0,0.21041369717160963,576477.0,26.020353018257673,0.4949408215765764,29.43689787226735,True,2023-03
25-30万,SUV,78.5138586110246,80275.0,303728.0,0.19991776315789472,14,0.2248488365636181,0.4818491279694648,-2.1150357950056486,1.012660992241168,-1.9610112047661277,5.325449988360331,2,0.009442659221408628,2868.0,0.022352236211346993,554137.0,51.2963306928895,0.451890056069167,152.55590528367486,True,2023-03
5万以下,轿车,99.97614259909342,29341.0,465374.0,0.09288916939927072,1,0.7636190510070584,0.9340739140537426,-3.2952307245994517,0.8596344033945748,-0.43430194884543916,,3,0.004323404401621061,2012.0,0.004323404401621061,468897.0,1.7870191765366883,0.007513377138262722,13.881953009837256,True,2023-03
5-10万,轿车,54.44725738396624,213300.0,765226.0,0.4066072704251754,9,5.405533989653688,0.643032774274849,17.315752420633256,1.2016004775879503,-3.669672372319588,29.65848886113158,2,0.3746631714029581,286702.0,0.5153209640027914,2475030.0,35.30249390686666,0.6908215253956518,112.48650725406613,True,2024-03
30-35万,SUV,57.14212028472198,58162.0,432092.0,0.030016447368421052,20,-0.7088835199935417,0.5235460277641775,-6.8254154713365605,1.0391380876597087,-5.034088550725613,4.457013448660274,2,0.3512585282763856,151776.0,0.6627662627403423,812674.0,20.290637581456686,0.46830832535555467,-4.039186099256642,False,2024-03
20-25万,轿车,59.4414246308616,49304.0,376862.0,0.560032894736842,9,-2.189922269675426,0.4966810911347822,6.716682806891261,1.0179191670834176,-4.612818587602064,7.385421856833951,1,0.03626791769931699,13668.0,0.07957289405671042,690221.0,-8.731134779588025,0.4539980672856955,17.323847986796224,True,2024-03
25-30万,SUV,75.47485274896883,117826.0,767083.0,0.26164679280822706,17,0.48779031125261163,0.4196431323864264,-0.9077669195646454,1.049889674742972,-1.4190787958253792,2.954115147415237,1,0.1630019176542825,125036.0,0.20928243749372624,1104809.0,9.18151046032807,0.305687227385005,20.737521233034762,True,2024-03
5万以下,轿车,100.0,38993.0,529977.0,0.11995904598443971,4,-9.172245875903663,0.8599525489449057,-2.6494287755796986,1.0773748915153192,-1.5675567652703948,,3,0.2546959585038596,134983.0,0.4487383414751961,530303.0,0.5703251302317227,0.0006147428922710363,42.85657679484205,True,2024-03
10-15万,SUV,56.60979114885798,339572.0,1922807.0,0.23509482064036516,30,-2.596775490098868,0.5374109000901339,-5.113951503227199,1.0709281565504283,-3.5613936861146556,17.151371098776668,2,0.04911621395179027,94441.0,0.09992110492628746,4042771.0,10.191484672991628,0.5243838941161891,3.8577454731546057,False,2025-03
20-25万,SUV,58.838721070115994,90607.0,561493.0,0.46233552631578945,23,1.7386962637520709,0.5790554708427726,7.98949431216005,1.0825605120552042,,16.70649294119999,0,0.23436445334135955,131594.0,0.3881651240531939,955786.0,21.379740324455142,0.41253272175989186,44.41141741749228,True,2025-03
10-15万,轿车,62.453114455656866,254876.0,1765556.0,0.16337164686112346,12,-6.579213320940824,0.3821784437539766,-5.551832612863472,1.0768542509461787,-3.029728102137308,17.293491966920183,2,0.15072475752680742,266113.0,0.24535103955920967,3221628.0,17.799732190433893,0.4519677628826171,-23.867212368228476,False,2025-03
5-10万,轿车,54.50740359170151,247515.0,1626002.0,0.21663348399371204,7,-4.253599443945499,0.5624384438075716,-11.667935002042407,1.1567407022578609,-1.7264034884182267,-9.216365613859434,1,0.0822163810376617,133684.0,0.09315425196278972,3189024.0,0.6275336884365359,0.4901255054838095,24.11140945706094,True,2025-03
30-35万,SUV,75.32347762904172,35783.0,414639.0,0.060032894736842105,4,3.669445105217495,0.6917746172295022,-4.08173742659047,0.9501390074110596,-1.8477547109605696,-3.937860653807801,2,0.11856096508046758,49160.0,0.13505965430169375,630975.0,20.396532335123943,0.3428598597408772,-0.1490453141166137,False,2025-03
20-25万,轿车,72.69612434348583,84347.0,442149.0,0.2774671052631579,6,0.9805050051201025,0.6346267774176895,1.232663942053036,1.0058589220464673,0.5456845046003966,3.052027255021139,2,0.23015544533630067,101763.0,0.29598167133703795,748206.0,31.650968426024924,0.40905445826416786,19.106002727587313,True,2025-03
25-30万,SUV,66.8686016255262,99537.0,926157.0,0.2600328947368421,18,2.239020289975402,0.49167193406906445,5.069969325196966,0.9595312010241919,0.9584939284159377,,3,0.22329475456105174,206806.0,0.26542799978837284,1372633.0,1.8117082674949785,0.3252697552805448,-1.8089805508137435,False,2025-03
35-40万,MPV,99.49029602038816,15303.0,150148.0,0.07245065789473686,2,-0.535156460020414,0.5806295215088408,-7.328160279716933,1.0376008553146734,-5.372766093823378,0.1285975739555134,2,0.08132642459440019,12211.0,0.11115033167274956,150849.0,2.035206200028867,0.004647031137097413,-52.53017023203772,False,2025-03
5万以下,轿车,100.0,77805.0,757107.0,0.14259868421052632,1,-0.8773460187207816,0.8284107609625034,-0.04119988977281386,0.730251568558661,0.8230066829336913,,3,0.10069250449408075,76235.0,0.10069250449408075,757107.0,0.0,0.0,1.9269403135884433,False,2025-03
