price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct,recent_3m_sales,prior_3m_sales,growth_pct,total_sales,nev_sales,nev_penetration_pct,nev_model_sales,bev_model_sales,bev_route_pct,market_openness,nev_substitution_space,open_convertible_share,opportunity_profile,opportunity_flag,strength
15-20万,轿车,新能源,299926.0,红旗E-QM5（26.3%）、比亚迪汉（12.7%）、比亚迪海豹（12.4%）,红旗E-QM5,154018.0,51.35200016003948,红旗E-QM5（26.3%）、深蓝SL03（7.6%）、零跑零跑C01（6.9%）,40.867080546534815,3,100.0,79630.0,113103.0,-29.595147785646713,1524703.0,299926.0,19.671109717761425,299926.0,193374.0,64.47390356287885,0.4864799983996052,0.8032889028223857,0.3907839841594548,替代空间主导,有机会,0.3907839841594548
20-25万,SUV,新能源,411742.0,比亚迪唐（22.4%）、小鹏G6（11.7%）、领克领克08（10.6%）,比亚迪唐,184064.0,44.703722233826035,比亚迪唐（22.4%）、小鹏G6（11.7%）、比亚迪护卫舰07（8.0%）,42.13075178145538,3,100.0,74615.0,143937.0,-48.16134836768864,923199.0,411742.0,44.59948505143528,411742.0,208984.0,50.75605597680101,0.5529627776617396,0.5540051494856473,0.3063442262984908,开放替代蓝海,有机会,0.3063442262984908
10-15万,轿车,新能源,1399422.0,比亚迪秦（25.5%）、比亚迪海豚（18.8%）、埃安AION S（14.2%）,比亚迪秦,819152.0,58.53502374551779,比亚迪秦（25.5%）、比亚迪海豚（18.8%）、埃安AION S（14.2%）,58.53502374551779,3,100.0,215428.0,400416.0,-46.19895308878766,3585744.0,1399422.0,39.02738176512322,1399422.0,974668.0,69.64789748910621,0.4146497625448221,0.6097261823487677,0.25282281672827744,替代空间主导,有机会,0.25282281672827744
15-20万,SUV,新能源,873501.0,比亚迪宋（47.4%）、零跑零跑C11（9.2%）、深蓝S7（7.9%）,比亚迪宋,563719.0,64.53558725176045,比亚迪宋（47.4%）、零跑零跑C11（9.2%）、深蓝S7（7.9%）,64.53558725176045,3,100.0,140045.0,249992.0,-43.98020736663574,2374391.0,873501.0,36.78842279978319,873501.0,306271.0,35.062467014920415,0.3546441274823955,0.6321157720021681,0.22417614642956973,替代空间主导,有机会,0.22417614642956973
25-30万,轿车,新能源,216289.0,特斯拉MODEL 3（24.0%）、蔚来蔚来ET5（21.7%）、极氪极氪001（21.7%）,特斯拉MODEL 3,145848.0,67.43200070276343,蔚来蔚来ET5（21.7%）、比亚迪汉（2.6%）,24.36092450378891,2,100.0,48518.0,76780.0,-36.809064860640795,668889.0,216289.0,32.335559412697776,216289.0,208624.0,96.45613045508556,0.3256799929723657,0.6766444058730222,0.22036954534951644,头部锁死,没机会,0.22036954534951644
5-10万,轿车,新能源,765226.0,比亚迪海鸥（37.5%）、五菱五菱缤果（25.7%）、比亚迪秦（9.6%）,比亚迪海鸥,557180.0,72.81247631418692,比亚迪海鸥（37.5%）、五菱五菱缤果（25.7%）、零跑零跑T03（5.2%）,68.42906540028697,3,100.0,264987.0,229409.0,15.508545872219482,2475030.0,765226.0,30.91784746043482,765226.0,638678.0,83.46266331776495,0.27187523685813075,0.6908215253956518,0.187817265843638,头部锁死,没机会,0.187817265843638
10-15万,SUV,新能源,791600.0,比亚迪元（32.5%）、埃安AION Y（25.0%）、比亚迪宋（18.2%）,比亚迪元,599261.0,75.70250126326428,比亚迪元（32.5%）、埃安AION Y（25.0%）、欧尚汽车欧尚Z6（4.7%）,62.26351692774128,3,100.0,236499.0,253582.0,-6.736676893470362,3336485.0,791600.0,23.725567475951486,791600.0,529944.0,66.94593228903487,0.24297498736735723,0.7627443252404851,0.18532779278983028,头部锁死,没机会,0.18532779278983028
30-35万,SUV,新能源,432092.0,理想理想L7（35.1%）、理想理想L8（17.0%）、蔚来蔚来ES6（14.2%）,理想理想L7,286376.0,66.27662627403423,理想理想L7（35.1%）、蔚来蔚来ES6（14.2%）、坦克坦克500（7.0%）,56.32527332142229,3,100.0,89477.0,146508.0,-38.92688453872826,812674.0,432092.0,53.169167464444534,432092.0,124651.0,28.848254538385344,0.33723373725965766,0.46830832535555467,0.1579293667494654,头部锁死,没机会,0.1579293667494654
20-25万,轿车,新能源,376862.0,比亚迪汉（42.6%）、特斯拉MODEL 3（22.1%）、比亚迪海豹（9.2%）,比亚迪汉,278572.0,73.91883501122427,比亚迪汉（42.6%）、极狐阿尔法S（2.2%）、飞凡F7（2.1%）,46.97448933561888,3,100.0,58045.0,76977.0,-24.594359354092777,690221.0,376862.0,54.600193271430456,376862.0,283495.0,75.22514872818167,0.2608116498877573,0.4539980672856955,0.11840798497463528,头部锁死,没机会,0.11840798497463528
25-30万,SUV,新能源,767083.0,特斯拉MODEL Y（60.5%）、AITO问界M7（16.3%）、AITO问界M5（4.0%）,特斯拉MODEL Y,619934.0,80.81706933930226,特斯拉MODEL Y（60.5%）、AITO问界M5（4.0%）、比亚迪唐（2.9%）,67.41539051184813,3,100.0,234246.0,247287.0,-5.2736294265367745,1104809.0,767083.0,69.4312772614995,767083.0,547186.0,71.3333498461053,0.1918293066069774,0.305687227385005,0.058639768867874933,头部锁死,没机会,0.058639768867874933
