price_bucket,body_type,v01_profile,v01_opportunity_flag,nev_substitution_space,bev_route_pct,obs_sales,DPS_score,CES_score,PLS_score,market_state,C_top1_share_erosion,C_top3_share_erosion,C_leader_turnover,C_top3_turnover,C_challenger_presence,C_incumbent_aging,P_price_headroom,P_incumbent_price_position,P_price_sensitive_demand,top1_model,top1_share_12,top1_share_end
15-20万,轿车,开放替代蓝海,有机会,0.8568424584823761,88.45633477533997,232084.0,0.8651587252636832,0.18248355263157895,0.21403933934937955,LOCKED_STABLE,0.0,0.0,1.0,0.0,0.0,0.21655701754385964,0.5350983483734488,0.0,0.0,E-QM5,0.16373382051326243,0.3049469166478428
5-10万,轿车,替代空间主导,有机会,0.8010332217874149,100.0,412753.0,0.8607232552511903,0.3224506578947368,0.49054135726788467,PROVEN_UNDERSERVED,0.0,0.0,0.0,1.0,1.0,0.14967105263157895,0.47635339316971165,0.0,1.0,Lumin,0.21384944506763123,0.32689106044154903
20-25万,SUV,替代空间主导,有机会,0.7543819508722301,45.769242613207695,259788.0,0.6653750934501842,0.40935275298622364,0.22258364881530102,RIPE_WITH_BARRIER,0.07225718598374997,0.0,0.0,1.0,1.0,0.6326754385964912,0.5564591220382525,0.0,0.0,唐,0.3486419696059864,0.31251337661411144
10-15万,轿车,替代空间主导,有机会,0.686809082691431,72.66197698708645,1013431.0,0.6987522888452611,0.09745065789473685,0.24851426126931214,LOCKED_STABLE,0.0,0.0,0.0,0.0,0.0,0.649671052631579,0.6212856531732803,0.0,0.0,秦,0.2815475350566541,0.3338584227626268
35-40万,SUV,头部锁死,没机会,0.7742374447442749,55.64939957398123,107507.0,0.7089144100429361,0.46669744424940685,0.4824065200656332,PROVEN_UNDERSERVED,0.0,0.021809589668086993,1.0,1.0,1.0,0.08223684210526315,0.3890981928957987,0.08922414302437916,1.0,理想L8,0.34481475624843033,0.34923472724894256
10-15万,SUV,头部锁死,没机会,0.9516202237768339,99.7941686796176,117572.0,0.9655166626826364,0.22236842105263158,0.2423921655822111,RIPE_WITH_BARRIER,0.0,0.0,1.0,0.0,0.0,0.48245614035087725,0.5227676370281942,0.11095036923644482,0.0,哪吒U,0.4023577042152894,0.8640625
30-35万,SUV,头部锁死,没机会,0.5434945583721122,65.08567992122602,302638.0,0.5757032306241565,0.5283171191252253,0.5532037113022505,PROVEN_UNDERSERVED,0.05482572720507373,0.0,1.0,1.0,1.0,0.4490131578947369,0.5328004807778658,0.13361172997034737,1.0,MODEL Y,0.4794804353716321,0.45206757176909523
20-25万,轿车,头部锁死,没机会,0.4949408215765764,49.268602634335664,291155.0,0.49426438300661046,0.3850477958229511,0.29776705247414986,RIPE_WITH_BARRIER,0.02556792648317663,0.0,1.0,0.0,1.0,0.5328947368421053,0.546456905517432,0.14644056892569352,0.11750706529822996,汉,0.4744002335525751,0.4616162703109868
5-10万,SUV,头部锁死,没机会,0.8522451538645094,100.0,157896.0,0.8965716077051564,0.07236842105263158,0.2638224199064454,LOCKED_STABLE,0.0,0.0,0.0,0.0,0.0,0.48245614035087725,0.6294732716518393,0.0,0.04011037081903224,哪吒V,0.5492919389978214,0.6175968109339408
15-20万,SUV,头部锁死,没机会,0.5739152455277099,48.727067254924926,922044.0,0.5479218736341717,0.2665253097057451,0.2746329098356391,RIPE_WITH_BARRIER,0.07610866625103474,0.019264592804006497,0.0,0.0,1.0,0.649671052631579,0.40930705674909174,0.0,0.3697002904533413,宋,0.517372272906716,0.4793179397811986
25-30万,轿车,头部锁死,没机会,0.46225963361391875,100.0,248186.0,0.623581743529743,0.5474506578947368,0.24373156487664943,RIPE_WITH_BARRIER,0.0,0.0,1.0,1.0,1.0,0.649671052631579,0.5617577529925574,0.0,0.0634282122654215,MODEL 3,0.3675025988573086,0.7964743589743589
25-30万,SUV,头部锁死,没机会,0.451890056069167,82.27855186219249,303728.0,0.5631586948349943,0.19991776315789472,0.3394301394655566,LOCKED_STABLE,0.0,0.0,0.0,0.0,1.0,0.33278508771929827,0.4818491279694648,0.08782015648270258,0.40114813777653313,MODEL Y,0.6287039719749249,0.8612023418534913
5万以下,轿车,头部锁死,没机会,0.007513377138262722,100.0,465374.0,0.3052593639967839,0.09288916939927072,0.38445738458817535,LOCKED_STABLE,0.052028083838458805,0.0,0.0,0.0,0.0,0.5498903508771931,0.9340739140537426,0.03609272988892757,0.0,宏光MINI EV,0.8195300983724918,0.7935160564532624
