标签类型,标签,2023_pct,2024_pct,2025_pct,2026_pct,大盘_pct,2023_tgi,2024_tgi,2025_tgi,2026_tgi,大盘_tgi,Δ2023→2024_pct,Δ2023→2024_tgi,Δ2024→2025_pct,Δ2024→2025_tgi,Δ2025→2026_pct,Δ2025→2026_tgi,Δ23→26_pct,Δ23→26_tgi,2023_大盘差_pct,2023_大盘差_tgi,2024_大盘差_pct,2024_大盘差_tgi,2025_大盘差_pct,2025_大盘差_tgi,2026_大盘差_pct,2026_大盘差_tgi
城市,临汾,0.048,0.099,0.084,0.12,0.26,22.708786113593025,46.61533950140592,39.585450506335256,58.377797840996315,124.56450830861226,0.051000000000000004,23.906553387812895,-0.015,-7.029888995070664,0.03599999999999999,18.79234733466106,0.072,35.66901172740329,-0.21200000000000002,-101.85572219501924,-0.161,-77.94916880720635,-0.176,-84.979057802277,-0.14,-66.18671046761594
城市,临沂,1.07,0.87,0.7,0.88,0.65,188.91305903681248,154.36916193747712,123.62692304472,154.4650497650455,114.16363366320547,-0.20000000000000007,-34.54389709933537,-0.17000000000000004,-30.742238892757115,0.18000000000000005,30.838126720325505,-0.19000000000000006,-34.44800927176698,0.42000000000000004,74.74942537360701,0.21999999999999997,40.20552827427164,0.04999999999999993,9.463289381514528,0.22999999999999998,40.30141610184003
城市,临沧,0.0,0.028,0.0,0.0095,0.13,,26.83558671577068,,9.048042744792005,125.342567618828,0.028,,-0.028,,0.0095,,0.0095,,-0.13,,-0.10200000000000001,-98.50698090305733,-0.13,,-0.12050000000000001,-116.294524874036
城市,临高,0.0,0.014,0.0099,0.0,0.028,,67.65592528690688,47.31422083464168,,132.729665514508,0.014,,-0.0040999999999999995,-20.341704452265198,-0.0099,,0.0,,-0.028,,-0.014,-65.07374022760114,-0.018099999999999998,-85.41544467986634,-0.028,
城市,丹东,0.048,0.028,0.0099,0.095,0.12,43.167181431733816,25.317486087838336,8.852714101966253,85.3619109355327,110.85660698107804,-0.02,-17.84969534389548,-0.018099999999999998,-16.464771985872083,0.0851,76.50919683356645,0.047,42.19472950379889,-0.072,-67.68942554934424,-0.092,-85.53912089323971,-0.11009999999999999,-102.00389287911179,-0.024999999999999994,-25.49469604554534
城市,丽水,0.16,0.32,0.24,0.25,0.18,101.6749571298561,211.00627206026076,153.98010979435887,160.84753920972935,115.48970969529556,0.16,109.33131493040466,-0.08000000000000002,-57.02616226590189,0.010000000000000009,6.867429415370481,0.09,59.17258207987325,-0.01999999999999999,-13.814752565439463,0.14,95.5165623649652,0.06,38.49040009906331,0.07,45.35782951443379
城市,丽江,0.11,0.049,0.059,0.029,0.1,139.84137997928926,63.790810320158485,76.47635483073987,36.87099636644686,132.679248068952,-0.061,-76.05056965913077,0.009999999999999995,12.68554451058138,-0.029999999999999995,-39.605358464293005,-0.081,-102.9703836128424,0.009999999999999995,7.162131910337251,-0.051000000000000004,-68.88843774879352,-0.04100000000000001,-56.20289323821214,-0.07100000000000001,-95.80825170250515
城市,乌兰察布,0.048,0.07,0.069,0.086,0.088,61.09120123143792,89.57474092397207,87.69997125061786,108.72554924714548,111.90657503652317,0.022000000000000006,28.48353969253415,-0.0010000000000000009,-1.8747696733542085,0.016999999999999987,21.025577996527616,0.03799999999999999,47.63434801570756,-0.039999999999999994,-50.815373805085244,-0.017999999999999988,-22.331834112551093,-0.01899999999999999,-24.2066037859053,-0.0020000000000000018,-3.181025789377685
城市,乌海,0.012,0.028,0.035,0.019,0.035,40.41161686005943,94.80540667308648,116.026451121553,63.9302863843378,118.34166474761172,0.016,54.39378981302705,0.007000000000000003,21.221044448466515,-0.016000000000000004,-52.0961647372152,0.006999999999999999,23.518669524278366,-0.023000000000000003,-77.93004788755229,-0.007000000000000003,-23.536258074525236,0.0,-2.3152136260587213,-0.016000000000000004,-54.41137836327392
城市,乌鲁木齐,0.14,0.18,0.32,0.35,0.39,49.064341000781326,62.34834922987652,109.00610521650168,119.6621703534822,133.3228959884469,0.03999999999999998,13.284008229095193,0.14,46.65775598662516,0.02999999999999997,10.656065136980516,0.20999999999999996,70.59782935270087,-0.25,-84.25855498766558,-0.21000000000000002,-70.97454675857038,-0.07,-24.31679077194522,-0.040000000000000036,-13.660725634964706
