price_bucket,body_type,nev_penetration,market_total_sales,market_size_12m,ces_score,new_product_count_obs,price_delta_pct,price_position_end,top3_price_delta_pct,new_vs_old_price_ratio,incumbent_price_delta_pct,replacement_premium_pct,top3_overlap_count,biggest_new_model_share,top_new_model_sales,top3_new_models_share,total_demand_pool,pen_speed_pp_12m,nev_substitution_space,market_volume_growth,expanded,freeze_date
15-20万,轿车,14.220095079018375,124528.0,232084.0,0.18248355263157895,10,3.8620843866974397,0.5350983483734488,-2.0544811254335937,1.0126500157788425,0.5763118317449356,15.22404461131719,2,0.145197428517261,33698.0,0.22203167818548455,1621179.0,1.3873979275551562,0.8568424584823761,29.231657503317756,True,2023-03
5-10万,轿车,15.970544374183554,173006.0,412753.0,0.3224506578947368,7,-2.504968533975749,0.47635339316971165,-16.650421011919548,0.7501036682833648,1.3948911025195354,-24.08805966858735,1,0.21384944506763123,88267.0,0.27725298180752167,2074482.0,-7.417392282068576,0.8010332217874149,85.39562401726941,True,2023-03
20-25万,SUV,26.154535107196835,107186.0,259788.0,0.40935275298622364,17,4.613771001540212,0.5564591220382525,-0.6940538746611047,1.0024668694964387,1.751919001105895,1.4221181264476357,1,0.0826905014858269,21482.0,0.2201910788797019,1057691.0,-3.017636508128941,0.7543819508722301,58.49153925508492,True,2023-03
10-15万,轿车,48.057724154246515,253620.0,1013431.0,0.09745065789473685,6,8.945010197655478,0.6212856531732803,-4.863195459485659,1.0781524490193148,-1.88108214601721,1.3912127994232693,2,0.016451046001158442,16672.0,0.02821307025342623,3235825.0,16.78249206282382,0.686809082691431,38.087546167425316,True,2023-03
35-40万,SUV,56.29664179104478,40736.0,107507.0,0.46669744424940685,10,-0.9292248047608753,0.3890981928957987,-3.8262732209386585,0.96762976428151,-6.381421679353716,2.969328421137085,1,0.34481475624843033,37070.0,0.45799808384570306,476195.0,36.49721024709669,0.7742374447442749,-25.256029839917403,False,2023-03
10-15万,SUV,11.325429127588038,175181.0,117572.0,0.22236842105263158,1,3.3572487983895005,0.5227676370281942,18.30386129052204,1.1056332718266884,0.3951064362270884,33.045583522262255,1,0.00014459224985540774,17.0,0.00014459224985540774,2430189.0,2.945595310974573,0.9516202237768339,573.2895587384752,True,2023-03
30-35万,SUV,21.21871838852971,45474.0,302638.0,0.5283171191252253,11,1.7801334535449742,0.5328004807778658,-8.08723322568019,0.9835622915251105,-0.669521207376711,-1.1518184168044399,1,0.07126666182039268,21568.0,0.132194238661371,662945.0,-11.698090275183418,0.5434945583721122,42.77519676973811,True,2023-03
20-25万,轿车,74.74222658323548,62167.0,291155.0,0.3850477958229511,6,3.8752872551764073,0.546456905517432,-4.978318267496129,1.0194629685781198,-1.087517597731269,13.35263822316659,1,0.16175233123250501,47095.0,0.21041369717160963,576477.0,26.020353018257673,0.4949408215765764,29.43689787226735,True,2023-03
5-10万,SUV,8.19842427779399,85675.0,157896.0,0.07236842105263158,3,4.699762197749102,0.6294732716518393,24.045805508877137,1.1703971986329513,8.927643296086973,,3,0.1561217510259918,24651.0,0.16524801134924255,1068635.0,-8.945854329171183,0.8522451538645094,-40.36707706338349,False,2023-03
15-20万,SUV,46.75262952422444,176743.0,922044.0,0.2665253097057451,14,-2.865642561721038,0.40930705674909174,-1.9377221111905873,0.9490210511959383,0.2734358281078597,,3,0.08982000858961177,82818.0,0.11115630056700114,2163992.0,7.12580851258604,0.5739152455277099,-5.264716217447319,False,2023-03
25-30万,轿车,23.113556990157686,18898.0,248186.0,0.5474506578947368,3,-0.8909680978801293,0.5617577529925574,,1.036271699738808,-4.62848701197045,0.8175616554461751,2,0.011253656531794703,2793.0,0.011954743619704576,461535.0,-9.533516711091746,0.46225963361391875,-12.852054507506471,False,2023-03
25-30万,SUV,78.5138586110246,80275.0,303728.0,0.19991776315789472,14,0.2248488365636181,0.4818491279694648,-2.1150357950056486,1.012660992241168,-1.9610112047661277,5.325449988360331,2,0.009442659221408628,2868.0,0.022352236211346993,554137.0,51.2963306928895,0.451890056069167,152.55590528367486,True,2023-03
5万以下,轿车,99.97614259909342,29341.0,465374.0,0.09288916939927072,1,0.7636190510070584,0.9340739140537426,-3.2952307245994517,0.8596344033945748,-0.43430194884543916,,3,0.004323404401621061,2012.0,0.004323404401621061,468897.0,1.7870191765366883,0.007513377138262722,13.881953009837256,True,2023-03
15-20万,轿车,34.676725021524334,97564.0,299926.0,0.21258223684210525,11,-2.8858321661505926,0.3970137812259933,4.883364381345889,1.1262774716834882,-3.278759754574445,12.127997484425435,1,0.12704800517460973,38105.0,0.3011009382314304,1524703.0,24.84877705677402,0.8032889028223857,64.70629421924075,True,2024-03
20-25万,SUV,39.47216001235617,51796.0,411742.0,0.275,23,1.0145892947622803,0.4883211934380245,-2.7843609317473317,1.0424351840471973,-3.4253761915649106,-3.385653924546672,2,0.11698345080171564,48167.0,0.2750290230289842,923199.0,12.299811449622283,0.5540051494856473,36.37010555153471,True,2024-03
10-15万,轿车,46.09007836380222,187459.0,1399422.0,0.16020971722600746,15,-2.5673047119461945,0.5448850270714346,-6.017067298986067,1.0030552257888148,-6.673939726971623,,3,0.016774068150993766,23474.0,0.045993988946865204,3585744.0,-0.07809874204583878,0.6097261823487677,26.163230247916648,True,2024-03
15-20万,SUV,33.27370011844953,122415.0,873501.0,0.38861371477026674,24,0.3444299007298701,0.451756306243976,-2.8543110247539083,1.027429400740223,-0.5682922444823713,,3,0.07901536460748185,69020.0,0.17502326843357935,2374391.0,-1.0465530793546876,0.6321157720021681,26.691097090902005,True,2024-03
