price_bucket,total_sales,nev_sales,nev_penetration_pct,bev_sales,bev_penetration_pct,bev_share_of_nev_pct
5万以下,670296.0,611811.0,91.27475025958681,611369.0,91.20880924248391,99.9277554669661
5-10万,4832867.0,2372219.0,49.08512897209876,1851825.0,38.31731765016501,78.0629865960942
10-15万,6194493.0,3100044.0,50.045161080979504,1958442.0,31.615856212929778,63.17465171462082
15-20万,2573968.0,1332470.0,51.76715483642377,704626.0,27.375087802179358,52.88119057089465
20-25万,2092138.0,1371062.0,65.5340135306562,873346.0,41.74418704693476,63.69850524629812
25-30万,1654970.0,1064719.0,64.33464050707867,835388.0,50.477531314767035,78.46088968075145
30-35万,1171575.0,722331.0,61.65469560207413,232616.0,19.854981541941406,32.20351888538634
35-40万,405938.0,245656.0,60.51564524631841,83644.0,20.605117037577166,34.04923958706484
40-45万,285565.0,187650.0,65.7118344334915,108653.0,38.04843030483428,57.901945110578204
45-50万,127318.0,90556.0,71.12584237892521,8929.0,7.013148180147348,9.860197005168073
50-55万,142363.0,125829.0,88.38602726832112,29764.0,20.90711772019415,23.654324519784787
55-60万,95162.0,19544.0,20.537609550030474,19134.0,20.106765305479076,97.90216946377404
60万以上,191721.0,30856.0,16.094220247129947,8179.0,4.266095002634036,26.50700025926886
