price_bucket,body_type,fuel_type_group,sales,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct
25-30万,跑车,其他能源,572.0,斯巴鲁BRZ（100.0%）,斯巴鲁BRZ,572.0,100.0,斯巴鲁BRZ（100.0%）,100.0,1,100.0
25-30万,轿车,其他能源,115240.0,奥迪A5（31.7%）、奔驰C级（27.4%）、奥迪A5L Sportback（17.8%）,奥迪A5,88700.0,76.96980215203054,奥迪A5（31.7%）、奥迪A5L Sportback（17.8%）、沃尔沃S90（12.4%）,61.931620964942724,3,100.0
25-30万,轿车,新能源,91212.0,极氪极氪001（40.8%）、蔚来蔚来ET5（19.3%）、阿维塔阿维塔12（13.7%）,极氪极氪001,67360.0,73.84993202648774,极氪极氪001（40.8%）、阿维塔阿维塔12（13.7%）、奔驰C级（1.6%）,56.060606060606055,3,100.0
30-35万,MPV,其他能源,7524.0,别克GL8（95.9%）、红旗HQ9（4.1%）,别克GL8,7524.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
30-35万,MPV,新能源,205856.0,魏牌高山（34.2%）、腾势腾势D9（28.4%）、岚图梦想家（13.2%）,魏牌高山,156174.0,75.86565366081143,魏牌高山（34.2%）、腾势腾势D9（28.4%）、小鹏X9（11.9%）,74.4933351468988,3,100.0
30-35万,SUV,其他能源,189487.0,奔驰GLC级（35.9%）、宝马X3（32.6%）、雷克萨斯RX（7.6%）,奔驰GLC级,144074.0,76.03371207523472,宝马X3（32.6%）、雷克萨斯RX（7.6%）、福特探险者（5.6%）,45.734535878450764,3,100.0
30-35万,SUV,新能源,445204.0,AITO问界M7（28.9%）、特斯拉MODEL Y L（17.9%）、领克领克900（7.9%）,AITO问界M7,243350.0,54.66033548665331,AITO问界M7（28.9%）、特斯拉MODEL Y L（17.9%）、领克领克900（7.9%）,54.66033548665331,3,100.0
30-35万,跑车,其他能源,34.0,福特Mustang（100.0%）,福特Mustang,34.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
30-35万,跑车,新能源,219.0,MGCyberster（100.0%）,MGCyberster,219.0,100.0,MGCyberster（100.0%）,100.0,1,100.0
30-35万,轿车,其他能源,252199.0,奥迪A6（53.4%）、宝马5系（32.2%）、雷克萨斯ES（6.4%）,奥迪A6,232007.0,91.99362408256971,奥迪A6（53.4%）、宝马5系（32.2%）、雷克萨斯ES（6.4%）,91.99362408256971,3,100.0
30-35万,轿车,新能源,71052.0,享界享界S9T（46.8%）、腾势腾势Z9GT（23.6%）、享界享界S9（16.0%）,享界享界S9T,61434.0,86.46343523053538,享界享界S9T（46.8%）、腾势腾势Z9GT（23.6%）、享界享界S9（16.0%）,86.46343523053538,3,100.0
35-40万,MPV,其他能源,489.0,红旗HQ9（100.0%）,红旗HQ9,489.0,100.0,无满足9个月暴露期车型,0.0,0,100.0
35-40万,MPV,新能源,40174.0,岚图梦想家（82.9%）、腾势腾势D9（7.9%）、广汽传祺向往M8（7.2%）,岚图梦想家,39379.0,98.02110817941953,岚图梦想家（82.9%）,82.91183352416986,1,100.0
35-40万,SUV,其他能源,58055.0,奔驰GLC级（83.7%）、福特烈马（7.4%）、雷克萨斯NX（2.6%）,奔驰GLC级,54476.0,93.83515631728532,奔驰GLC级（83.7%）、福特烈马（7.4%）、宝马X4（0.6%）,91.800878477306,3,100.0
35-40万,SUV,新能源,202729.0,AITO问界M8（43.3%）、蔚来蔚来ES8（15.6%）、坦克坦克500（10.1%）,AITO问界M8,139778.0,68.94820178662154,AITO问界M8（43.3%）、坦克坦克500（10.1%）、方程豹豹8（3.6%）,56.95929048138155,3,100.0
35-40万,跑车,其他能源,291.0,福特Mustang（91.1%）、宝马Z4（8.9%）,福特Mustang,291.0,100.0,福特Mustang（91.1%）,91.06529209621993,1,100.0
