price_bucket,body_type,vehicle_level_group,fuel_type_group,sales,weighted_tp,active_months,share_pct,market_rank,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct,concentration_label
15-20万,SUV,A,其他能源,367955.0,166939.6937280401,12,1.7625980577051292,19,本田CR-V（29.8%）、丰田RAV4荣放（21.5%）、宝马X1（12.0%）,本田CR-V,233252.0,63.39144732372165,本田CR-V（29.8%）、丰田RAV4荣放（21.5%）、宝马X1（12.0%）,63.39144732372165,3,100.0,高集中
10-15万,轿车,A,新能源,335402.0,115674.69683518878,12,1.6066609062260757,20,小鹏MONA M03（42.9%）、零跑零跑B01（25.5%）、比亚迪秦（11.3%）,小鹏MONA M03,267176.0,79.65843972307857,小鹏MONA M03（42.9%）、零跑零跑B01（25.5%）、零跑零跑Lafa5（10.7%）,79.11759619799524,3,100.0,高集中
20-25万,SUV,B,新能源,325077.0,234617.64864625045,12,1.5572015295473909,21,理想理想i6（51.0%）、理想理想L6（26.3%）、智己智己LS6（8.6%）,理想理想i6,279334.0,85.92856461699844,理想理想i6（51.0%）、理想理想L6（26.3%）、智己智己LS6（8.6%）,85.92856461699844,3,100.0,高集中
30-35万,SUV,C,新能源,313389.0,326559.83735774644,12,1.5012130361216798,22,AITO问界M7（41.1%）、特斯拉MODEL Y L（25.4%）、理想理想i8（10.6%）,AITO问界M7,241627.0,77.10130221545747,AITO问界M7（41.1%）、特斯拉MODEL Y L（25.4%）、理想理想i8（10.6%）,77.10130221545747,3,100.0,高集中
5-10万,SUV,A0,新能源,304411.0,82611.30949887165,12,1.4582061321196234,23,比亚迪元（67.7%）、零跑零跑A10（25.2%）、宝骏悦也（7.1%）,比亚迪元,304386.0,99.9917874189829,比亚迪元（67.7%）、宝骏悦也（7.1%）,74.78343423857876,2,100.0,高集中
20-25万,轿车,B,新能源,288025.0,226390.4203754776,12,1.3797130235233106,24,特斯拉MODEL 3（57.9%）、小鹏P7（9.2%）、阿维塔阿维塔06（9.2%）,特斯拉MODEL 3,219846.0,76.3287909035674,特斯拉MODEL 3（57.9%）、小鹏P7（9.2%）、阿维塔阿维塔06（9.2%）,76.3287909035674,3,100.0,高集中
25-30万,SUV,B,其他能源,267446.0,267690.15337004466,12,1.281134378228332,25,奥迪Q5（38.0%）、凯迪拉克XT5（16.6%）、沃尔沃XC60（14.1%）,奥迪Q5,183793.0,68.72153631013363,奥迪Q5（38.0%）、凯迪拉克XT5（16.6%）、沃尔沃XC60（14.1%）,68.72153631013363,3,100.0,高集中
15-20万,轿车,C,新能源,239597.0,172466.5175150589,12,1.1477305834462797,26,比亚迪汉（25.0%）、风云风云A9（20.3%）、小鹏P7+（20.2%）,比亚迪汉,156983.0,65.51960166446158,比亚迪汉（25.0%）、风云风云A9（20.3%）、小鹏P7+（20.2%）,65.51960166446158,3,100.0,高集中
30-35万,轿车,C,其他能源,225907.0,326810.58054534334,12,1.0821520007120233,27,奥迪A6（59.6%）、宝马5系（35.9%）、奥迪A7L（3.1%）,奥迪A6,222721.0,98.58968513591876,奥迪A6（59.6%）、宝马5系（35.9%）、奥迪A7L（3.1%）,98.58968513591876,3,100.0,高集中
20-25万,轿车,C,新能源,218755.0,235748.21856997212,12,1.0478921012441345,28,小米小米SU7（76.9%）、比亚迪汉L（5.5%）、尚界尚界Z7（5.4%）,小米小米SU7,192008.0,87.77307947246919,小米小米SU7（76.9%）、比亚迪汉L（5.5%）、智界智界S7（4.9%）,87.27754794176134,3,100.0,高集中
