body_type,fuel_type_group,verdict,gravity_delta_wan,top_band,top_band_share_delta_pp,top_band_top3_up,upper_band_growth_pct
MPV,其他能源,无法判别,-0.4318101004323651,25-30万,20.887773369611168,False,-47.958947998033864
MPV,新能源,无法判别,0.8064362176371986,35-40万,35.50944541507815,False,-12.641490862561112
SUV,其他能源,高价需求下沉,-1.995217764698097,5-10万,8.48329332052943,False,-8.330519061305875
SUV,新能源,高价需求下沉,-2.694256238856248,10-15万,30.932486521994342,False,20.021170356295357
跑车,其他能源,消费升级,1.201277506940876,50-55万,30.23331468425767,True,-97.56963407973784
跑车,新能源,无法判别,,,,,
轿车,其他能源,高价需求下沉,-0.636755707383081,5-10万,5.10481858861252,False,-34.481824554961904
轿车,新能源,低段承接+内部高端化,-2.3605843135223754,5-10万,15.012506037988505,True,74.21570881490698
