body_type,fuel_type_group,price_bucket,sales,growth_pct,share_pct,freeze,share_delta_pp
MPV,其他能源,20-25万,23351.0,-61.08490959086743,2.9968108111576695,2024-03,-4.6727555621299235
MPV,其他能源,25-30万,204132.0,180.38569309378607,26.197806710772014,2024-03,16.892330329789928
MPV,其他能源,30-35万,142720.0,-15.47977898720234,18.316339298891805,2024-03,-3.2664506057323024
MPV,其他能源,35-40万,25265.0,-71.0870535458842,3.2424489376856886,2024-03,-7.926448960772602
MPV,其他能源,40-45万,6476.0,663.6792452830189,0.8311141626935491,2024-03,0.7227266569098998
MPV,其他能源,45-50万,4224.0,-12.23768959069188,0.5420979344066633,2024-03,-0.07307785018850677
MPV,其他能源,5-10万,174617.0,-16.860132934656335,22.40992306162129,2024-03,-4.4349013071620895
MPV,其他能源,50-55万,23963.0,99.12747216220707,3.075353409608635,2024-03,1.5372222249383092
MPV,其他能源,55-60万,1379.0,-69.61885877946685,0.1769775216730087,2024-03,-0.40317682827036905
MPV,其他能源,5万以下,9242.0,-31.888864323089393,1.1860959066729124,2024-03,-0.5482320013204105
MPV,其他能源,60万以上,20700.0,-20.552677029360964,2.6565878887826537,2024-03,-0.6736437895109586
MPV,新能源,10-15万,7039.0,70.89099295945618,3.234210308672039,2024-03,-3.268276075415103
MPV,新能源,15-20万,7032.0,-51.891633030033525,3.23099401769879,2024-03,-19.84422896754077
MPV,新能源,20-25万,13805.0,819.7201865423052,6.342985269387342,2024-03,3.973421767927085
MPV,新能源,25-30万,3516.0,1079.8657718120805,1.615497008849395,2024-03,1.1450573529965258
MPV,新能源,30-35万,5657.0,87.1939113170086,2.5992225765247516,2024-03,-2.1714775576610563
MPV,新能源,35-40万,73462.0,1053.9742381401193,33.75359535383796,2024-03,23.70386767209512
MPV,新能源,40-45万,85910.0,181.8662029594147,39.4730796445539,2024-03,-8.642793747189728
MPV,新能源,5-10万,117.0,,0.05375800626717269,2024-03,
MPV,新能源,50-55万,17313.0,488.2772680937818,7.954806517124452,2024-03,3.3088202514365532
MPV,新能源,55-60万,3544.0,,1.6283621727423936,2024-03,
MPV,新能源,60万以上,247.0,,0.11348912434180902,2024-03,
SUV,其他能源,10-15万,2544885.0,10.043513474129085,36.59809307409112,2024-03,1.9074296331554166
SUV,其他能源,15-20万,1500890.0,20.84966520337406,21.58435918085596,2024-03,2.954382803815051
SUV,其他能源,20-25万,511457.0,-35.89985248833505,7.355283594109525,2024-03,-4.613747348546748
SUV,其他能源,25-30万,337726.0,34.869753083954656,4.856851127473539,2024-03,1.1005636222008253
