body_type,fuel_type_group,freeze,price_gravity,total_sales,gravity_delta
MPV,其他能源,2023-03,23.235299944528094,782378.0,
MPV,新能源,2023-03,33.72101191885705,63345.0,
SUV,其他能源,2023-03,19.92969439559246,6666396.0,
SUV,新能源,2023-03,23.400655657897804,2317062.0,
跑车,其他能源,2023-03,55.24218337255655,20821.0,
轿车,其他能源,2023-03,17.434656672507383,6806242.0,
轿车,新能源,2023-03,14.525903451833262,2822674.0,
MPV,其他能源,2024-03,23.4533557068513,779195.0,0.2180557623232069
MPV,新能源,2024-03,38.30991950083164,217642.0,4.588907581974588
SUV,其他能源,2024-03,19.048428152323975,6953600.0,-0.8812662432684846
SUV,新能源,2024-03,22.60092644466611,3659150.0,-0.7997292132316929
跑车,其他能源,2024-03,56.754121640343584,14436.0,1.5119382677870306
跑车,新能源,2024-03,23.3397526859923,9866.0,
轿车,其他能源,2024-03,17.09139524161172,6669275.0,-0.3432614308956623
轿车,新能源,2024-03,13.011164329353694,3680651.0,-1.5147391224795683
MPV,其他能源,2025-03,22.80348984409573,648539.0,-0.649865862755572
MPV,新能源,2025-03,34.52744813649425,329567.0,-3.7824713643373897
SUV,其他能源,2025-03,17.934476630894363,6119725.0,-1.1139515214296125
SUV,新能源,2025-03,20.706399419041556,5340141.0,-1.894527025624555
跑车,其他能源,2025-03,56.44346087949743,10506.0,-0.31066076084615446
跑车,新能源,2025-03,38.33103448275862,725.0,14.99128179676632
轿车,其他能源,2025-03,16.797900965124303,5294862.0,-0.29349427648741866
轿车,新能源,2025-03,12.165319138310887,5486712.0,-0.8458451910428071
