freeze,body_type,fuel_type_group,price_bucket,share_delta_pp,gravity_delta,upper_band_growth_pct,CES_score,top3_price_position,receiver_tier,sales,val_sales,val_growth_pct,expanded
2024-03,MPV,其他能源,10-15万,-1.9291680595465905,0.2180557623232069,222.06743991390647,,23696.78642221649,非Receiver,89257.0,61098.0,-31.548225909452476,False
2024-03,MPV,其他能源,15-20万,4.775575752995607,0.2180557623232069,-61.08490959086743,,36453.33734532913,非Receiver,53869.0,39717.0,-26.271139245205966,False
2024-03,MPV,其他能源,20-25万,-4.6727555621299235,0.2180557623232069,180.38569309378607,,47108.11521760754,非Receiver,23351.0,79563.0,240.72630722453,True
2024-03,MPV,其他能源,25-30万,16.892330329789928,0.2180557623232069,-15.47977898720234,,54916.993863721575,非Receiver,204132.0,195815.0,-4.074324456724076,False
2024-03,MPV,其他能源,30-35万,-3.2664506057323024,0.2180557623232069,-71.0870535458842,,66272.40653269319,非Receiver,142720.0,87876.0,-38.42769058295964,False
2024-03,MPV,其他能源,35-40万,-7.926448960772602,0.2180557623232069,663.6792452830189,,72634.60367007312,非Receiver,25265.0,701.0,-97.22541064714031,False
2024-03,MPV,其他能源,40-45万,0.7227266569098998,0.2180557623232069,-12.23768959069188,,85264.90762403353,非Receiver,6476.0,397.0,-93.86967263743051,False
2024-03,MPV,其他能源,45-50万,-0.07307785018850677,0.2180557623232069,99.12747216220707,,98347.59935776234,非Receiver,4224.0,3691.0,-12.618371212121215,False
2024-03,MPV,其他能源,5-10万,-4.4349013071620895,0.2180557623232069,-14.761972974263482,,12548.549990737214,非Receiver,174617.0,143923.0,-17.57789905908359,False
2024-03,MPV,其他能源,50-55万,1.5372222249383092,0.2180557623232069,-69.61885877946685,,104397.16970535988,非Receiver,23963.0,12978.0,-45.841505654550765,False
2024-03,MPV,其他能源,55-60万,-0.40317682827036905,0.2180557623232069,-20.552677029360964,,111160.6282,非Receiver,1379.0,1176.0,-14.720812182741117,False
2024-03,MPV,其他能源,5万以下,-0.5482320013204105,0.2180557623232069,-16.860132934656335,,9141.366847699926,非Receiver,9242.0,2432.0,-73.68534949145207,False
2024-03,MPV,其他能源,60万以上,-0.6736437895109586,0.2180557623232069,,,115802.96352302274,非Receiver,20700.0,19172.0,-7.381642512077291,False
2024-03,MPV,新能源,10-15万,-3.268276075415103,4.588907581974588,-51.891633030033525,,28502.948209428105,非Receiver,7039.0,21661.0,207.72837050717433,True
2024-03,MPV,新能源,15-20万,-19.84422896754077,4.588907581974588,819.7201865423052,,31582.62074153463,非Receiver,7032.0,1539.0,-78.11433447098976,False
2024-03,MPV,新能源,20-25万,3.973421767927085,4.588907581974588,1079.8657718120805,,45216.708756316264,非Receiver,13805.0,38796.0,181.02861282144153,True
2024-03,MPV,新能源,25-30万,1.1450573529965258,4.588907581974588,87.1939113170086,,56894.09651026727,非Receiver,3516.0,12632.0,259.27189988623434,True
2024-03,MPV,新能源,30-35万,-2.1714775576610563,4.588907581974588,1053.9742381401193,,66260.10488353486,非Receiver,5657.0,38007.0,571.8578751988687,True
2024-03,MPV,新能源,35-40万,23.70386767209512,4.588907581974588,181.8662029594147,,75528.41070795686,非Receiver,73462.0,150148.0,104.38866352672132,True
2024-03,MPV,新能源,40-45万,-8.642793747189728,4.588907581974588,,,82392.5767238407,非Receiver,85910.0,26626.0,-69.00710045396346,False
2024-03,MPV,新能源,5-10万,,4.588907581974588,70.89099295945618,,19834.290153846152,非Receiver,117.0,3455.0,2852.991452991453,True
2024-03,MPV,新能源,50-55万,3.3088202514365532,4.588907581974588,,,103824.75522541592,非Receiver,17313.0,11085.0,-35.972968289724484,False
2024-03,MPV,新能源,55-60万,,4.588907581974588,,,111949.0,非Receiver,3544.0,1255.0,-64.58803611738149,False
2024-03,MPV,新能源,60万以上,,4.588907581974588,,,81794.0,非Receiver,247.0,1512.0,512.1457489878543,True
2024-03,SUV,其他能源,10-15万,1.9074296331554166,-0.8812662432684846,20.84966520337406,0.4466282279702465,22884.035009937015,非Receiver,2544885.0,2119964.0,-16.69706096739145,False
2024-03,SUV,其他能源,15-20万,2.954382803815051,-0.8812662432684846,-35.89985248833505,0.3886137147702667,34481.606595775695,Strong Receiver,1500890.0,1080826.0,-27.987660654678226,False
2024-03,SUV,其他能源,20-25万,-4.613747348546748,-0.8812662432684846,34.869753083954656,0.275,44157.67524053135,非Receiver,511457.0,394293.0,-22.907888639709697,False
