price_bucket,body_type,vehicle_level_group,fuel_type_group,sales,weighted_tp,active_months,share_pct,market_rank,model_top3,top1_model,top3_sales,top3_concentration_pct,top3_stable,stable_top3_concentration_pct,stable_model_count,mapped_model_sales_pct,concentration_label
30-35万,SUV,B,其他能源,309751.0,327638.7652792858,12,1.386181362595546,19,奥迪Q5（46.9%）、沃尔沃XC60（18.2%）、宝马X3（13.4%）,奥迪Q5,243238.0,78.52694583714015,奥迪Q5（46.9%）、沃尔沃XC60（18.2%）、林肯航海家（7.6%）,72.73487414084217,3,100.0,高集中
20-25万,SUV,B,新能源,281907.0,221954.83747024357,12,1.2615753601609765,20,比亚迪唐（32.8%）、小鹏G6（17.1%）、领克领克08（15.4%）,比亚迪唐,184064.0,65.29245460382324,比亚迪唐（32.8%）、小鹏G6（17.1%）、比亚迪护卫舰07（11.7%）,61.53447768235624,3,100.0,高集中
5-10万,SUV,A0,其他能源,281645.0,78348.49515491906,12,1.2604028715588411,21,吉利缤越（30.1%）、广汽传祺GS3（19.0%）、五菱星驰（14.8%）,吉利缤越,179961.0,63.89639439720215,吉利缤越（30.1%）、广汽传祺GS3（19.0%）、五菱星驰（14.8%）,63.89639439720215,3,100.0,高集中
20-25万,轿车,B,其他能源,280363.0,228980.36719190914,12,1.2546657326735833,22,凯迪拉克CT5（31.3%）、奥迪A4（28.8%）、大众CC（13.3%）,凯迪拉克CT5,205939.0,73.45441445554513,凯迪拉克CT5（31.3%）、大众CC（13.3%）、丰田亚洲龙（7.3%）,51.91983250286236,3,100.0,高集中
35-40万,轿车,C,其他能源,264741.0,373991.0805512061,12,1.1847549809844278,23,奥迪A6（70.4%）、宝马5系（21.1%）、奥迪A7L（8.1%）,奥迪A6,263592.0,99.56599091187236,奥迪A6（70.4%）、奥迪A7L（8.1%）、捷尼赛思G80（0.2%）,78.72751103909104,3,100.0,高集中
15-20万,SUV,B,新能源,255725.0,169745.45893605353,12,1.1444070525994945,24,零跑零跑C11（31.6%）、深蓝S7（27.0%）、哈弗哈弗枭龙MAX（8.9%）,零跑零跑C11,172485.0,67.44940854433473,零跑零跑C11（31.6%）、深蓝S7（27.0%）、哈弗哈弗枭龙MAX（8.9%）,67.44940854433473,3,100.0,高集中
60万以上,SUV,C,其他能源,244803.0,872352.1152979649,12,1.0955294933913933,25,宝马X5（38.4%）、奔驰GLE级（17.7%）、保时捷卡宴（9.1%）,宝马X5,159522.0,65.16341711498633,宝马X5（38.4%）、奔驰GLE级（17.7%）、保时捷卡宴（9.1%）,65.16341711498633,3,100.0,高集中
10-15万,轿车,B,其他能源,239840.0,136499.43989804902,12,1.0733193371608671,26,别克君威（29.5%）、红旗H5（28.1%）、日产天籁（18.3%）,别克君威,182097.0,75.92436624416278,别克君威（29.5%）、红旗H5（28.1%）、MGMG7（13.6%）,71.21956304202803,3,100.0,高集中
10-15万,SUV,A0,其他能源,206120.0,113880.5564585629,12,0.9224173689776433,27,领克领克06（30.0%）、本田XR-V（26.8%）、本田缤智（15.5%）,领克领克06,149010.0,72.29283912284107,领克领克06（30.0%）、本田XR-V（26.8%）、本田缤智（15.5%）,72.29283912284107,3,100.0,高集中
25-30万,MPV,B,其他能源,204132.0,274125.61800952523,12,0.9135207760728908,28,别克GL8（48.9%）、广汽传祺M8（17.4%）、本田艾力绅（12.7%）,别克GL8,161296.0,79.01553896498345,别克GL8（48.9%）、广汽传祺M8（17.4%）、本田艾力绅（12.7%）,79.01553896498345,3,100.0,高集中
25-30万,SUV,C,新能源,192573.0,276022.88491710596,12,0.8617925480115063,29,AITO问界M7（64.9%）、小鹏G9（8.6%）、魏牌蓝山（7.4%）,AITO问界M7,156020.0,81.0186267026011,岚图岚图FREE（5.5%）,5.464421284396048,1,100.0,高集中
20-25万,轿车,B,新能源,188605.0,228940.0750611925,12,0.8440351633806927,30,特斯拉MODEL 3（44.2%）、比亚迪海豹（18.3%）、宝马i3（12.5%）,特斯拉MODEL 3,141529.0,75.03989819994167,本田雅阁（3.1%）,3.12823095888232,1,100.0,高集中
20-25万,轿车,C,新能源,188257.0,221893.96992426214,12,0.8424778121076275,31,比亚迪汉（85.4%）、极狐阿尔法S（4.5%）、飞凡F7（4.2%）,比亚迪汉,177029.0,94.03581274534281,比亚迪汉（85.4%）、极狐阿尔法S（4.5%）、飞凡F7（4.2%）,94.03581274534281,3,100.0,高集中
