price_bucket,body_type,v01_profile,v01_opportunity_flag,nev_substitution_space,bev_route_pct,obs_sales,DPS_score,CES_score,PLS_score,market_state,C_top1_share_erosion,C_top3_share_erosion,C_leader_turnover,C_top3_turnover,C_challenger_presence,C_incumbent_aging,P_price_headroom,P_incumbent_price_position,P_price_sensitive_demand,top1_model,top1_share_12,top1_share_end
15-20万,轿车,替代空间主导,有机会,0.8032889028223857,64.47390356287885,299926.0,0.7557239426643065,0.21258223684210525,0.3271633575265482,RIPE_WITH_BARRIER,0.0,0.0,1.0,0.0,0.0,0.4172149122807018,0.3970137812259933,0.043641123443761025,0.5175516933434086,E-QM5,0.26279815687869673,0.489950342870655
20-25万,SUV,开放替代蓝海,有机会,0.5540051494856473,50.75605597680101,411742.0,0.5400717725703561,0.275,0.4953284773752098,PROVEN_UNDERSERVED,0.0,0.0,1.0,0.0,0.0,0.8333333333333334,0.4883211934380245,0.0,1.0,唐,0.22427636723967923,0.24147713377353877
10-15万,轿车,替代空间主导,有机会,0.6097261823487677,69.64789748910621,1399422.0,0.635752020111456,0.16020971722600746,0.5179540108285738,LOCKED_STABLE,0.06699954884151382,0.09630232676220762,0.0,0.0,0.0,0.8503289473684211,0.5448850270714346,0.0,1.0,秦,0.25490023738371986,0.22140046296296295
15-20万,SUV,替代空间主导,有机会,0.6321157720021681,35.062467014920415,873501.0,0.5476684414462788,0.38861371477026674,0.18070252249759042,RIPE_WITH_BARRIER,0.44658006820633644,0.10874179511868132,0.0,0.0,1.0,0.8503289473684211,0.451756306243976,0.0,0.0,宋,0.4738792514261575,0.2505892173229893
25-30万,轿车,头部锁死,没机会,0.6766444058730222,96.45613045508556,216289.0,0.7630194754763722,0.4275493421052632,0.32482089637319256,RIPE_WITH_BARRIER,0.0,0.0,1.0,0.0,1.0,0.8503289473684211,0.48780291689711974,0.0,0.43233243204781546,MODEL 3,0.24045143303635413,0.3808359270787016
5-10万,轿车,头部锁死,没机会,0.6908215253956518,83.46266331776495,765226.0,0.7339630577302511,0.4066072704251754,0.292445156607839,RIPE_WITH_BARRIER,0.21579668791854267,0.1671574273652292,1.0,0.0,1.0,0.20010964912280702,0.643032774274849,0.0,0.1174401563263312,海鸥,0.3746631714029581,0.26676482744368674
10-15万,SUV,头部锁死,没机会,0.7627443252404851,66.94593228903487,791600.0,0.734758824535444,0.4466282279702465,0.5835447816062638,PROVEN_UNDERSERVED,0.0,0.09539442932491649,1.0,0.0,1.0,0.8503289473684211,0.6295078319404193,0.10580549610032002,1.0,元,0.32517938352703385,0.41581680792235176
30-35万,SUV,头部锁死,没机会,0.46830832535555467,28.848254538385344,432092.0,0.41436059136404424,0.030016447368421052,0.5314299992368757,LOCKED_STABLE,0.0,0.0,0.0,0.0,0.0,0.20010964912280702,0.5235460277641775,0.07337196043734905,1.0,理想L7,0.3512585282763856,0.37012185948548215
20-25万,轿车,头部锁死,没机会,0.4539980672856955,75.22514872818167,376862.0,0.5434740932845318,0.560032894736842,0.1986724364539129,RIPE_WITH_BARRIER,0.0,0.0,1.0,1.0,1.0,0.7335526315789473,0.4966810911347822,0.0,0.0,汉,0.4264399169987953,0.4880403999044597
25-30万,SUV,头部锁死,没机会,0.305687227385005,71.3333498461053,767083.0,0.42798110870781936,0.26164679280822706,0.47595967260856276,PROVEN_UNDERSERVED,0.15815172719903003,0.0,0.0,0.0,1.0,0.5334429824561404,0.4196431323864264,0.027008065513307228,1.0,MODEL Y,0.6048211210520895,0.5257452574525745
5万以下,轿车,头部锁死,没机会,0.0006147428922710363,100.0,529977.0,0.3004303200245897,0.11995904598443971,0.35162724236171583,LOCKED_STABLE,0.03688404571167214,0.0,0.0,0.0,0.0,0.7505482456140352,0.8599525489449057,0.025487409279178537,0.0,宏光MINI EV,0.3938170901756114,0.3753750673197753
